ID;Mun/UF;MUNICIPIO;UF;LATITUDE;LONGITUDE
1095;SAO MIGUEL DO PASSA QUATRO - GO;SAO MIGUEL DO PASSA QUATRO;GO;-17,05;-48,66
3074;MONSENHOR HIPOLITO - PI;MONSENHOR HIPOLITO;PI;-6,99;-41,03
3030;FRANCISCO SANTOS - PI;FRANCISCO SANTOS;PI;-6,99;-41,13
2153;TRES PONTAS - MG;TRES PONTAS;MG;-21,36;-45,51
2663;NOVA OLINDA - PB;NOVA OLINDA;PB;-7,48;-38,04
5435;JAU DO TOCANTINS - TO;JAU DO TOCANTINS;TO;-12,65;-48,59
64;JUNDIA - AL;JUNDIA;AL;-8,93;-35,57
3122;SANTO ANTONIO DE LISBOA - PI;SANTO ANTONIO DE LISBOA;PI;-6,98;-41,23
2658;MONTEIRO - PB;MONTEIRO;PB;-7,88;-37,12
1777;LIBERDADE - MG;LIBERDADE;MG;-22,02;-44,32
2565;BOA VENTURA - PB;BOA VENTURA;PB;-7,41;-38,21
2859;LAGOA DOS GATOS - PE;LAGOA DOS GATOS;PE;-8,65;-35,9
2569;BONITO DE SANTA FE - PB;BONITO DE SANTA FE;PB;-7,31;-38,51
2814;CUPIRA - PE;CUPIRA;PE;-8,61;-35,95
895;ANHANGUERA - GO;ANHANGUERA;GO;-18,33;-48,21
5489;SANTA ROSA DO TOCANTINS - TO;SANTA ROSA DO TOCANTINS;TO;-11,44;-48,12
2848;JAQUEIRA - PE;JAQUEIRA;PE;-8,72;-35,79
101;PORTO DE PEDRAS - AL;PORTO DE PEDRAS;AL;-9,15;-35,29
1464;CAMPOS GERAIS - MG;CAMPOS GERAIS;MG;-21,23;-45,75
2019;SANTA RITA DE JACUTINGA - MG;SANTA RITA DE JACUTINGA;MG;-22,14;-44,09
2101;SAO THOME DAS LETRAS - MG;SAO THOME DAS LETRAS;MG;-21,72;-44,98
2922;SOLIDAO - PE;SOLIDAO;PE;-7,6;-37,65
1494;CARMO DO RIO CLARO - MG;CARMO DO RIO CLARO;MG;-20,97;-46,11
2635;JURU - PB;JURU;PB;-7,53;-37,81
100;PORTO CALVO - AL;PORTO CALVO;AL;-9,04;-35,39
2063;SAO JOAO BATISTA DO GLORIA - MG;SAO JOAO BATISTA DO GLORIA;MG;-20,64;-46,5
1059;PIRENOPOLIS - GO;PIRENOPOLIS;GO;-15,85;-48,95
967;FORMOSO - GO;FORMOSO;GO;-13,65;-48,88
1567;CRUZILIA - MG;CRUZILIA;MG;-21,83;-44,8
2837;INGAZEIRA - PE;INGAZEIRA;PE;-7,67;-37,46
3646;SILVA JARDIM - RJ;SILVA JARDIM;RJ;-22,65;-42,39
1499;CARVALHOS - MG;CARVALHOS;MG;-22;-44,46
2768;ALTINHO - PE;ALTINHO;PE;-8,49;-36,05
2672;PEDRA BRANCA - PB;PEDRA BRANCA;PB;-7,42;-38,06
2973;BOCAINA - PI;BOCAINA;PI;-6,94;-41,32
623;ALTANEIRA - CE;ALTANEIRA;CE;-7;-39,74
3591;GUAPIMIRIM - RJ;GUAPIMIRIM;RJ;-22,53;-42,98
3084;OEIRAS - PI;OEIRAS;PI;-7,02;-42,13
2925;TACAIMBO - PE;TACAIMBO;PE;-8,31;-36,29
949;CRISTIANOPOLIS - GO;CRISTIANOPOLIS;GO;-17,19;-48,7
3569;ARMACAO DE BUZIOS - RJ;ARMACAO DE BUZIOS;RJ;-22,74;-41,88
3617;PATY DO ALFERES - RJ;PATY DO ALFERES;RJ;-22,42;-43,41
3121;SANTANA DO PIAUI - PI;SANTANA DO PIAUI;PI;-6,94;-41,51
1573;DELFINOPOLIS - MG;DELFINOPOLIS;MG;-20,34;-46,85
3017;DOM EXPEDITO LOPES - PI;DOM EXPEDITO LOPES;PI;-6,95;-41,64
2944;XEXEU - PE;XEXEU;PE;-8,8;-35,62
3618;PETROPOLIS - RJ;PETROPOLIS;RJ;-22,5;-43,17
641;BARRO - CE;BARRO;CE;-7,17;-38,78
3149;SEBASTIAO LEAL - PI;SEBASTIAO LEAL;PI;-7,56;-44,06
36;CAMPESTRE - AL;CAMPESTRE;AL;-8,84;-35,56
1349;AIURUOCA - MG;AIURUOCA;MG;-21,97;-44,6
5438;LAGOA DO TOCANTINS - TO;LAGOA DO TOCANTINS;TO;-10,37;-47,55
2657;MONTE HOREBE - PB;MONTE HOREBE;PB;-7,21;-38,58
654;CARIRIACU - CE;CARIRIACU;CE;-7,04;-39,28
2924;TABIRA - PE;TABIRA;PE;-7,59;-37,53
1687;INDIANOPOLIS - MG;INDIANOPOLIS;MG;-19,03;-47,91
61;JAPARATINGA - AL;JAPARATINGA;AL;-9,08;-35,25
3134;SAO JOAO DA VARJOTA - PI;SAO JOAO DA VARJOTA;PI;-6,94;-41,89
2776;BELEM DE MARIA - PE;BELEM DE MARIA;PE;-8,61;-35,8
894;ANAPOLIS - GO;ANAPOLIS;GO;-16,32;-48,95
